Game_id,Team,Zone,Foot,Keeper,OnTarget,Goal,Penalty_Number,Elimination
1,FRA,7,R,R,1,1,1,0
1,GER,9,R,C,1,1,2,0
1,FRA,6,R,L,1,1,3,0
1,GER,2,R,C,1,1,4,0
1,FRA,9,R,L,1,1,5,0
1,GER,4,R,L,1,0,6,0
1,FRA,8,L,L,1,0,7,0
1,GER,3,R,R,1,1,8,0
1,FRA,9,R,L,1,1,9,0
1,GER,9,R,C,1,1,10,1
1,FRA,7,R,L,1,0,11,0
1,GER,9,R,C,1,1,12,1
2,BRA,4,R,L,1,0,1,0
2,FRA,2,R,R,1,1,2,0
2,BRA,6,R,R,1,1,3,0
2,FRA,6,R,R,1,1,4,0
2,BRA,8,R,L,1,1,5,0
2,FRA,9,L,R,1,1,6,0
2,BRA,4,L,R,1,1,7,0
2,FRA,1,R,R,0,0,8,0
2,BRA,7,R,L,0,0,9,0
2,FRA,7,R,R,1,1,10,1
3,GER,1,L,R,1,1,1,0
3,MEX,6,L,L,1,1,2,0
3,GER,8,L,L,1,1,3,0
3,MEX,8,R,L,1,0,4,0
3,GER,7,R,L,1,1,5,0
3,MEX,7,R,L,1,0,6,0
3,GER,4,R,L,1,1,7,1
3,MEX,,,,,,8,
3,GER,,,,,,9,
3,MEX,,,,,,10,
4,SPA,7,R,R,1,1,1,0
4,BEL,9,R,L,1,1,2,0
4,SPA,7,R,L,1,0,3,0
4,BEL,4,R,R,1,1,4,0
4,SPA,1,R,L,1,1,5,0
4,BEL,7,R,R,1,1,6,0
4,SPA,1,R,L,1,1,7,0
4,BEL,5,L,R,1,1,8,0
4,SPA,1,R,R,1,1,9,1
4,BEL,5,R,L,1,1,10,1
5,ROM,3,L,R,1,1,1,0
5,IRE,2,L,R,1,1,2,0
5,ROM,9,R,R,1,1,3,0
5,IRE,9,R,L,1,1,4,0
5,ROM,4,L,L,1,1,5,0
5,IRE,7,L,R,1,1,6,0
5,ROM,1,R,L,1,1,7,0
5,IRE,8,L,L,1,1,8,0
5,ROM,7,R,L,1,0,9,0
5,IRE,6,R,l,1,1,10,1
6,ARG,6,R,L,1,1,1,0
6,YUG,1,R,R,0,0,2,0
6,ARG,1,R,R,1,1,3,0
6,YUG,4,R,R,1,1,4,0
6,ARG,7,L,L,1,0,5,0
6,YUG,7,L,R,1,1,6,0
6,ARG,3,R,L,0,0,7,0
6,YUG,7,R,L,1,0,8,0
6,ARG,7,R,C,1,1,9,0
6,YUG,6,R,R,1,0,10,1
7,ITA,8,R,R,1,1,1,0
7,ARG,5,R,L,1,1,2,0
7,ITA,4,R,L,1,1,3,0
7,ARG,8,R,R,1,1,4,0
7,ITA,4,L,L,1,1,5,0
7,ARG,9,R,L,1,1,6,0
7,ITA,6,R,R,1,0,7,0
7,ARG,7,L,R,1,1,8,0
7,ITA,9,L,R,1,0,9,1
7,ARG,,,,,,10,
8,ENG,7,R,R,1,1,1,0
8,GER,7,R,L,1,1,2,0
8,ENG,6,R,R,1,1,3,0
8,GER,4,R,L,1,1,4,0
8,ENG,1,R,L,1,0,5,0
8,GER,6,R,R,1,1,6,0
8,ENG,8,L,L,1,0,7,0
8,GER,6,R,R,1,1,8,0
8,ENG,1,L,L,0,0,9,1
8,GER,,,,,,10,0
9,MEX,2,L,R,0,0,1,0
9,BUL,4,L,l,1,0,2,0
9,MEX,9,R,R,1,0,3,0
9,BUL,2,R,R,1,1,4,0
9,MEX,7,R,L,1,0,5,0
9,BUL,1,R,L,1,1,6,0
9,MEX,9,R,C,1,1,7,0
9,BUL,3,R,R,1,1,8,1
9,MEX,,,,,,9,
9,BUL,,,,,,10,
10,SWE,2,R,R,0,0,1,0
10,RUM,9,R,R,1,1,2,0
10,SWE,6,R,R,1,1,3,0
10,RUM,9,L,L,1,1,4,0
10,SWE,7,R,C,1,1,5,0
10,RUM,4,R,R,1,1,6,0
10,SWE,7,R,R,1,1,7,0
10,RUM,5,R,R,1,0,8,0
10,SWE,2,R,L,1,1,9,0
10,RUM,4,R,R,1,1,10,1
10,SWE,9,R,L,1,1,11,0
10,RUM,9,R,R,1,0,12,1
11,ITA,2,R,R,0,0,1,0
11,BRA,4,R,L,1,0,2,0
11,ITA,4,R,R,1,1,3,0
11,BRA,4,R,C,1,1,4,0
11,ITA,5,L,L,1,1,5,0
11,BRA,9,L,L,1,1,6,0
11,ITA,6,R,R,1,0,7,0
11,BRA,6,R,L,1,1,8,0
11,ITA,2,R,C,0,0,9,1
11,BRA,,,,,,10,
12,ARG,9,L,R,1,1,1,0
12,ENG,1,R,L,1,1,2,0
12,ARG,6,R,R,1,0,3,0
12,ENG,6,R,R,1,0,4,0
12,ARG,1,R,L,1,1,5,0
12,ENG,1,R,L,1,1,6,0
12,ARG,7,R,L,1,1,7,0
12,ENG,1,R,R,1,1,8,0
12,ARG,9,R,C,1,1,9,0
12,ENG,5,R,L,1,0,10,1
13,FRA,7,R,R,1,1,1,0
13,ITA,9,R,C,1,1,2,0
13,FRA,7,L,L,1,0,3,0
13,ITA,7,R,L,1,0,4,0
13,FRA,7,R,R,1,1,5,0
13,ITA,4,R,L,1,1,6,0
13,FRA,9,R,R,1,1,7,0
13,ITA,3,L,R,1,1,8,0
13,FRA,5,R,R,1,1,9,0
13,ITA,2,R,R,0,0,10,0
14,BRA,2,R,R,1,1,1,0
14,HOL,4,L,L,1,1,2,0
14,BRA,6,L,L,1,1,3,0
14,HOL,9,R,R,1,1,4,0
14,BRA,5,R,R,1,1,5,0
14,HOL,6,L,R,1,0,6,0
14,BRA,1,R,L,1,1,7,0
14,HOL,7,R,L,1,0,8,1
14,BRA,,,,,,9,
14,HOL,,,,,,10,
15,IRE,2,R,R,1,1,1,0
15,SPA,4,R,R,1,1,2,0
15,IRE,2,R,R,0,0,3,0
15,SPA,6,R,C,1,1,4,0
15,IRE,5,R,C,1,0,5,0
15,SPA,9,L,C,0,0,6,0
15,IRE,6,L,R,1,0,7,0
15,SPA,7,R,R,0,0,8,1
15,IRE,3,R,C,1,1,9,1
15,SPA,8,R,L,1,1,10,1
16,KOR,9,R,R,1,1,1,0
16,SPA,5,R,R,1,1,2,0
16,KOR,6,R,C,1,1,3,0
16,SPA,7,R,R,1,1,4,0
16,KOR,6,R,L,1,1,5,0
16,SPA,3,R,C,1,1,6,0
16,KOR,8,R,L,1,1,7,0
16,SPA,5,R,C,1,0,8,0
16,KOR,3,R,L,1,1,9,1
16,SPA,,,,,,10,
17,UKR,7,R,L,1,0,1,0
17,SWZ,7,L,L,1,0,2,0
17,UKR,5,R,L,1,1,3,0
17,SWZ,1,R,L,0,0,4,0
17,UKR,6,R,L,1,1,5,0
17,SWZ,2,R,R,1,0,6,0
17,UKR,7,R,R,1,1,7,1
17,SWZ,,,,,,8,
17,UKR,,,,,,9,
17,SWZ,,,,,,10,
18,GER,6,R,R,1,1,1,0
18,ARG,1,R,L,1,1,2,0
18,GER,4,R,C,1,1,3,0
18,ARG,9,R,R,1,0,4,0
18,GER,9,L,L,1,1,5,0
18,ARG,7,R,L,1,1,6,0
18,GER,9,R,L,1,1,7,0
18,ARG,9,L,R,1,0,8,1
18,GER,,,,,,9,
18,ARG,,,,,,10,
19,POR,7,R,L,1,1,1,0
19,ENG,8,R,C,1,0,2,0
19,POR,4,L,R,0,0,3,0
19,ENG,7,R,L,1,1,4,0
19,POR,7,R,L,0,0,5,0
19,ENG,5,R,R,1,0,6,0
19,POR,4,R,C,1,1,7,0
19,ENG,7,R,L,1,0,8,0
19,POR,6,R,L,1,1,9,1
19,ENG,,,,,,10,
20,ITA,2,R,L,1,1,1,0
20,FRA,9,R,L,1,1,2,0
20,ITA,9,L,R,1,1,3,0
20,FRA,1,R,R,0,0,4,0
20,ITA,1,R,L,1,1,5,0
20,FRA,7,L,R,1,1,6,0
20,ITA,4,R,R,1,1,7,0
20,FRA,3,R,L,1,1,8,0
20,ITA,3,L,L,1,1,9,1
20,FRA,,,,,,10,
21,PAR,7,R,L,1,1,1,0
21,JAP,6,R,L,1,1,2,0
21,PAR,9,R,R,1,1,3,0
21,JAP,4,R,L,1,1,4,0
21,PAR,9,R,L,1,1,5,0
21,JAP,1,R,L,0,0,6,0
21,PAR,2,R,L,1,1,7,0
21,JAP,8,L,R,1,1,8,1
21,PAR,7,L,R,1,1,9,1
21,JAP,,,,,,10,
22,URU,6,R,L,1,1,1,0
22,GHA,3,R,R,1,1,2,0
22,URU,1,R,L,1,1,3,0
22,GHA,1,R,L,1,1,4,0
22,URU,8,R,C,1,1,5,0
22,GHA,8,R,R,1,0,6,0
22,URU,2,R,L,0,0,7,0
22,GHA,9,R,R,1,0,8,0
22,URU,5,L,L,1,1,9,1
22,GHA,,,,,,10,
23,BRA,4,R,R,1,1,1,0
23,CHI,5,R,C,1,0,2,0
23,BRA,7,R,C,0,0,3,0
23,CHI,7,R,L,1,0,4,0
23,BRA,6,L,R,1,1,5,0
23,CHI,3,R,C,1,1,6,0
23,BRA,8,L,R,1,0,7,0
23,CHI,8,R,R,1,1,8,0
23,BRA,7,R,C,1,1,9,0
23,CHI,6,R,R,0,0,10,1
24,CRA,2,R,L,1,1,1,0
24,GRE,4,L,C,1,1,2,0
24,CRA,3,L,L,1,1,3,0
24,GRE,9,R,L,1,1,4,0
24,CRA,5,R,L,1,1,5,0
24,GRE,3,L,R,1,1,6,0
24,CRA,7,L,C,1,1,7,0
24,GRE,4,R,L,1,0,8,0
24,CRA,1,R,L,1,1,9,1
24,GRE,,,,,,10,
25,CRA,9,R,R,1,1,1,0
25,HOL,9,L,R,1,1,2,0
25,CRA,9,L,R,1,0,3,0
25,HOL,1,L,R,1,1,4,0
25,CRA,6,R,R,1,1,5,0
25,HOL,4,R,R,1,1,6,0
25,CRA,1,R,L,1,1,7,0
25,HOL,7,R,L,1,1,8,0
25,CRA,9,R,R,1,0,9,1
25,HOL,,,,,,10,
26,HOL,9,R,R,1,0,1,0
26,ARG,4,L,C,1,1,2,0
26,HOL,9,L,L,1,1,3,0
26,ARG,2,R,L,1,1,4,0
26,HOL,4,R,L,1,0,5,0
26,ARG,7,R,L,1,1,6,0
26,HOL,9,R,L,1,1,7,0
26,ARG,4,R,L,1,1,8,1
26,HOL,,,,,,9,
26,ARG,,,,,,10,
27,SPA,6,R,C,1,1,1,0
27,RUS,4,R,L,1,1,2,0
27,SPA,7,R,R,1,1,3,0
27,RUS,6,R,L,1,1,4,0
27,SPA,7,R,L,1,0,5,0
27,RUS,7,R,L,1,1,6,0
27,SPA,4,R,R,1,1,7,0
27,RUS,8,L,L,1,1,8,0
27,SPA,8,L,L,1,0,9,1
27,RUS,,,,,,10,
28,DEN,7,R,L,1,0,1,0
28,CRO,7,R,L,1,0,2,0
28,DEN,3,R,C,1,1,3,0
28,CRO,7,R,C,1,1,4,0
28,DEN,7,R,R,1,1,5,0
28,CRO,8,R,R,1,1,6,0
28,DEN,4,R,L,1,0,7,0
28,CRO,7,L,L,1,0,8,0
28,DEN,8,R,R,1,0,9,0
28,CRO,7,R,C,1,1,10,1
29,COL,5,R,L,1,1,1,0
29,ENG,7,R,L,1,1,2,0
29,COL,1,R,L,1,1,3,0
29,ENG,7,R,L,1,1,4,0
29,COL,9,R,L,1,1,5,0
29,ENG,9,R,R,1,0,6,0
29,COL,3,R,R,0,0,7,0
29,ENG,1,R,L,1,1,8,0
29,COL,4,R,L,1,0,9,0
29,ENG,7,R,L,1,1,10,1
30,RUS,5,R,C,1,0,1,0
30,CRO,6,R,R,1,1,2,0
30,RUS,9,R,C,1,1,3,0
30,CRO,9,R,R,1,0,4,0
30,RUS,7,R,C,0,0,5,0
30,CRO,7,R,L,1,1,6,0
30,RUS,7,R,R,1,1,7,0
30,CRO,4,R,R,1,1,8,0
30,RUS,7,R,R,1,1,9,1
30,CRO,7,R,R,1,1,10,1
